PlotID,Repeat,C,N,CN,d13C,d15N
1148,1,44.14,3.72,11.86796871,-15.94,1.15
1148,2,39.70,2.85,13.9416314,-16.02,1.25
1148,3,44.21,3.47,12.7337698,-15.70,1.11
1149,Pooled,46.40,3.09,14.99201539,-15.75,3.19
1150,Pooled,43.47,2.84,15.33313403,-15.68,2.68
1151,1,42.77,2.73,15.69409379,-15.19,1.39
1151,2,42.24,3.22,13.13417982,-15.57,4.06
1151,3,45.64,3.56,12.80575716,-15.55,1.93
1152,1,41.43,3.03,13.68207178,-16.77,2.82
1152,2,41.90,3.55,11.79603823,-16.65,3.85
1152,3,41.35,3.13,13.19579434,-17.18,3.19
1153,1,43.60,2.93,14.87757937,-15.37,1.01
1153,2,43.27,3.01,14.36207869,-15.73,-0.06
1153,3,43.04,3.21,13.39857016,-16.11,2.04
1154,Pooled,55.82,3.97,14.07405378,-15.95,1.01
1155,Pooled,43.42,2.69,16.154946,-15.62,2.69
1156,1,43.60,2.64,16.52239383,-15.77,1.84
1156,2,43.84,2.67,16.42850488,-15.50,2.29
1156,3,43.02,3.27,13.16900661,-16.08,1.96
1157,1,42.88,3.32,12.90013343,-17.29,3.43
1157,2,44.08,3.41,12.91924417,-17.01,3.17
1157,3,43.40,4.03,10.77830838,-17.24,4.94
1158,1,44.95,3.51,12.81935128,-17.23,4.66
1158,2,43.12,3.05,14.15699227,-17.16,3.08
1158,3,43.36,3.38,12.81942892,-17.14,4.52
1159,1,42.60,2.98,14.31750949,-16.14,1.94
1159,2,43.57,3.06,14.2302795,-16.19,3.54
1159,3,43.19,2.48,17.38863945,-16.10,1.87
1160,Pooled,45.80,2.92,15.66360056,-15.77,2.31
1161,Pooled,46.15,3.16,14.62321365,-15.97,1.08
1162,Pooled,45.92,2.80,16.38157637,-15.49,-0.81
1163,Pooled,43.10,2.87,15.03221539,-15.46,2.08
1164,1,43.81,3.51,12.46927547,-17.26,2.13
1164,2,42.85,3.12,13.73348035,-17.07,1.47
1164,3,43.34,3.05,14.21051862,-16.84,1.77
1165,Pooled,45.27,2.76,16.38597552,-16.14,1.61
1166,1,41.45,4.44,9.339887408,-17.52,4.60
1166,2,42.24,3.58,11.80789273,-17.38,3.31
1166,3,42.64,3.90,10.92076412,-17.61,4.35
1167,Pooled,42.92,3.25,13.21231305,-15.68,3.74
1168,Pooled,44.53,2.81,15.8567946,-15.60,2.50
1169,Pooled,46.35,3.78,12.25882477,-16.21,1.78
1170,1,43.56,2.89,15.05586486,-16.01,1.50
1170,2,42.80,3.17,13.50985803,-15.95,1.48
1170,3,42.63,2.52,16.93220259,-16.04,1.06
1171,Pooled,43.15,3.59,12.01169167,-15.90,3.07
1172,1,44.71,3.77,11.86049614,-16.53,2.50
1172,2,45.17,3.42,13.19190471,-16.75,2.80
1172,3,45.24,3.84,11.78173346,-16.38,2.41
1173,Pooled,45.57,2.22,20.53159025,-15.50,0.70
1174,Pooled,42.17,2.94,14.34573142,-15.78,3.04
1175,1,47.32,3.72,12.71612361,-15.40,2.19
1175,2,46.56,4.26,10.92009173,-15.81,1.73
1175,3,47.40,3.31,14.32933048,-15.50,1.12
1176,Pooled,44.30,3.36,13.18047528,-15.58,3.92
1177,Pooled,42.38,2.89,14.68222724,-15.82,1.70
1178,1,44.29,3.36,13.19389235,-15.89,1.49
1178,2,44.20,2.85,15.52751129,-15.70,1.30
1178,3,43.35,2.88,15.05410564,-15.84,1.48
1179,Pooled,43.79,2.93,14.96837522,-15.45,2.67
1180,Pooled,43.46,3.69,11.77102453,-15.81,0.49
1181,Pooled,45.92,2.65,17.31624473,-16.17,0.99
1182,Pooled,42.47,3.64,11.67879882,-15.72,3.50
1183,1,43.24,2.59,16.72739346,-15.93,3.60
1183,2,43.03,2.32,18.50723101,-15.96,4.43
1183,3,42.55,2.70,15.74048756,-16.10,3.83
1184,Pooled,45.99,3.84,11.97479485,-15.60,2.57
1185,Pooled,40.28,2.82,14.30303724,-16.01,1.94
1186,Pooled,42.68,2.82,15.12805232,-16.12,2.03
1187,Pooled,41.83,2.36,17.74170802,-16.06,0.71
1188,1,45.93,2.93,15.66358586,-16.43,0.08
1188,2,45.45,2.90,15.69675596,-16.57,0.72
1188,3,43.36,2.69,16.09780909,-17.48,1.01
1189,Pooled,45.77,2.99,15.29077661,-16.23,2.48
1190,Pooled,45.06,2.77,16.26272506,-15.51,2.38
1191,Pooled,43.02,3.22,13.34358877,-15.71,3.25
1192,Pooled,43.88,3.37,13.01358052,-15.46,1.96
1193,Pooled,45.47,3.72,12.23470533,-16.21,2.71
1194,Pooled,44.91,2.85,15.76004141,-15.80,1.02
1195,Pooled,43.52,2.41,18.0358205,-15.55,2.56
1197,1,43.07,3.65,11.80293871,-15.93,0.72
1197,2,43.16,3.19,13.53724767,-15.86,2.91
1197,3,43.09,3.75,11.4875598,-15.99,2.38
1198,Pooled,46.08,2.76,16.70791729,-15.75,1.85
1199,Pooled,44.63,2.58,17.28671813,-15.26,2.05
1200,1,43.15,2.73,15.78403261,-15.66,2.39
1200,2,43.56,2.83,15.3717044,-15.61,2.33
1200,3,42.55,2.65,16.03867019,-16.17,1.98
1201,1,41.96,2.48,16.94926104,-15.83,3.67
1201,2,40.44,3.05,13.2396967,-16.36,2.64
1201,3,41.19,2.79,14.75335571,-15.97,3.97
1202,1,42.93,2.54,16.87909528,-16.27,2.92
1202,2,44.14,2.50,17.68863378,-16.19,0.92
1202,3,43.41,2.39,18.19988519,-15.87,1.83
1203,Pooled,45.16,2.44,18.54065147,-16.14,1.26
1204,Pooled,45.35,3.79,11.95683862,-16.13,2.96
1205,Pooled,43.73,3.08,14.1920696,-15.65,4.05
1206,1,42.42,2.80,15.1272531,-16.15,2.80
1206,2,43.88,2.99,14.65072076,-16.21,3.37
1206,3,42.03,3.42,12.3034904,-16.10,3.04
1207,Pooled,43.39,3.55,12.23217708,-15.76,1.92
1208,Pooled,45.02,2.46,18.28350858,-15.31,-0.31
1209,1,43.08,3.48,12.37557066,-16.70,3.44
