Plot,Repeat,Area
1058,1,5.15
1057,2,8.34
1057,3,4.49
1057,1,4.03
1056,2,9.57
1056,3,14.87
1055,2,6.36
1055,3,7.34
1055,1,4.34
1054,1,4.20
1054,2,6.63
1054,3,8.01
1053,3,10.38
1053,1,4.56
1053,2,5.75
1052,1,5.54
1052,2,13.60
1052,3,6.08
1050,1,7.44
1050,2,5.39
1050,3,7.46
1049,2,11.24
1049,1,6.60
1049,3,4.01
1048,1,4.87
1048,3,6.10
1048,2,2.85
1047,1,6.97
1047,2,10.83
1047,3,6.95
1046,3,4.97
1046,2,4.91
1046,1,3.09
1045,2,9.66
1045,3,13.04
1045,1,13.01
1044,3,6.00
1044,2,11.35
1044,1,7.87
1043,3,
1043,1,8.93
1042,2,10.97
1042,3,2.66
1042,1,4.69
1041,1,9.18
1041,2,12.10
1041,3,7.83
1040,2,5.81
1040,1,4.95
1040,3,6.73
1039,3,6.08
1039,1,7.93
1039,2,9.71
1038,2,5.16
1038,1,9.52
1038,3,5.76
1037,3,
1037,1,7.39
1037,2,17.73
1036,2,7.51
1036,3,11.98
1036,1,11.63
1035,3,12.54
1035,1,12.63
1035,2,10.01
1034,1,
1034,3,6.78
1034,2,4.41
1032,1,3.63
1032,3,4.21
1032,2,5.33
1031,2,5.10
1031,1,12.84
1031,3,7.37
1030,2,10.44
1030,1,10.75
1030,3,9.02
1029,2,11.60
1029,3,9.67
1029,1,9.77
1028,1,7.43
1028,3,7.64
1028,2,4.47
1027,2,4.64
1027,3,4.32
1027,1,4.31
1026,3,4.42
1026,1,6.46
1026,2,9.23
1025,1,2.61
1024,2,6.92
1024,1,6.65
1024,3,9.53
1023,1,8.91
1023,3,7.24
1023,2,8.47
1022,3,6.82
1022,2,5.95
1022,1,2.88
1021,1,11.50
1021,2,15.29
1021,3,10.80
1020,1,7.74
1020,3,8.01
1020,2,5.18
1019,2,8.15
1019,3,8.37
1019,1,14.93
1018,2,6.22
1018,3,6.18
1018,1,5.29
1017,3,12.27
1017,2,8.02
1017,1,13.27
1016,1,6.57
1016,2,6.77
1016,3,9.55
1015,2,6.34
1015,3,6.12
1015,1,4.66
1014,3,6.83
1014,2,4.39
1014,1,3.51
1013,1,8.07
1013,2,5.06
1013,3,6.95
1012,1,7.12
1012,2,6.49
1012,3,11.45
1011,3,4.02
1011,2,7.32
1011,1,10.54
1010,2,4.82
1010,3,8.00
1010,1,5.51
1009,3,8.68
1009,1,5.31
1009,2,5.90
1008,1,3.64
1008,2,2.31
1007,1,6.18
1007,3,5.04
1007,2,6.78
1006,2,6.62
1006,3,7.69
1006,1,3.86
1005,2,10.88
1005,3,7.11
1005,1,5.05
1004,3,7.34
1004,2,7.29
1004,1,8.25
1003,3,4.57
1003,2,4.04
1003,1,2.32
1002,1,4.35
1002,3,3.42
1002,2,4.72
1001,2,7.08
1001,1,4.10
1001,3,2.96
