Plot,Repeat,Vpmax,Vmax,SL,a400,gsw,Vpmax.Vmax,iWUE
1146,3,41.71852003,25.51262492,0.16015069,19.7709956,0.137919635,0.611541946,143.3515658
1148,1,87.65977768,49.76535581,0.231990705,35.92726403,0.250032622,0.567710267,143.6903065
1148,3,64.63111064,43.88335719,0.229316843,31.07505752,0.23698891,0.678981945,131.1245218
1153,1,98.48450895,36.84113189,0.119141153,31.60575274,0.199381295,0.374080475,158.5191467
1153,2,98.64249943,46.52008483,0.170577771,37.65362203,0.252939347,0.47160286,148.8642334
1153,3,82.24908077,35.49587962,0.148284994,29.35317812,0.184730845,0.43156567,158.8970056
1167,1,57.47251518,34.54723418,0.287673994,22.46817957,0.140291982,0.601108792,160.1529842
1170,1,51.07672291,39.89922179,0.309315973,24.0256614,0.167888318,0.781162524,143.1050216
1170,2,33.0119468,36.25571868,0.349946635,18.43325695,0.149085613,1.098260545,123.6420915
1170,3,62.38641126,31.33906622,0.315340155,20.69718426,0.115045649,0.502338019,179.9041027
1173,1,76.2611157,31.22921623,0.137565381,26.19545214,0.162341713,0.409503794,161.3599588
1173,2,66.73021074,34.71535344,0.141913032,28.39626427,0.18674153,0.520234434,152.0618591
1184,3,65.20166484,35.37167977,0.098560896,30.0846111,0.217444706,0.542496574,138.3552246
