Plot,Repeat,C,N,CN,d13C,d15N
2063,3,43.36,3.2,13.55,-13.41,3.28
2083,1,43.12,2.05,21.03414634,-13.75,0.53
2083,2,41.6,2.45,16.97959184,-13.69,3.27
2083,3,41.99,2.48,16.93145161,-13.81,4.98
1175,1,42.29,2.29,18.46724891,-14.24,1.4
1175,2,42.82,2.36,18.1440678,-14.18,2.55
1175,3,42.07,2.33,18.05579399,-14.17,2.7
2128,1,43.48,2.35,18.50212766,-14.69,4.41
2128,2,42.92,2.55,16.83137255,-14.36,4.4
2128,3,42.37,1.85,22.9027027,-13.96,4.41
1107,1,42.42,2.31,18.36363636,-14.56,2.45
1107,2,42.62,3.09,13.79288026,-13.14,3.08
1107,3,41.99,2.65,15.84528302,-14.65,3.2
1204,1,42.28,2.43,17.39917695,-14.38,4.24
1204,2,41.79,2.1,19.9,-13.88,1.42
1204,3,42.71,2.57,16.61867704,-13.69,4.68
1110,1,42.8591241,3.8148665,11.23476381,-14.129,2.737
1110,2,43.9864733,3.4076308,12.90822741,-14.129,2.611
1110,3,43.9869011,3.1546176,13.94365552,-13.847,2.958
2065,1,,,#DIV/0!,,
2065,2,,,#DIV/0!,,
2065,3,,,#DIV/0!,,
2176,1,44.1072387,3.9464619,11.17640049,-13.876,2.119
2176,2,44.958813,3.9150384,11.48361993,-14.212,2.872
2176,3,39.1397404,3.6850017,10.62136292,-13.818,1.757
1222,1,37.4582804,3.1071778,12.05540294,-14.135,2.09
1222,2,44.7508874,3.6779675,12.16728734,-14.382,1.656
1222,3,39.1594496,3.5042548,11.17482941,-14.232,5.403
2146,1,43.628171,3.4323262,12.7109629,-13.935,4.419
2146,2,45.506815,3.4611165,13.14801597,-13.906,3.957
2146,3,43.2655884,3.7249502,11.61507834,-13.833,4.985
1190,1,45.5220434,3.388268,13.43519562,-14.535,2.526
1190,2,45.4860278,3.3134206,13.72781584,-14.068,2.318
1190,3,43.2335559,3.004988,14.38726408,-14.13,4.181
2011,1,46.0107648,3.897745,11.8044574,-14.347,2.136
2011,2,45.6057796,3.4232417,13.32239544,-13.967,2.19
2011,3,45.5854584,2.8323878,16.09435629,-14.012,1.045
1292,1,47.0034587,3.9986789,11.75474697,-14.502,2.992
1292,2,46.2423654,3.4247255,13.50250273,-14.074,3.313
1292,3,46.3980048,3.3843898,13.70941515,-14.061,2.342
1213,1,45.2190184,4.1162767,10.98541757,-14.376,4.636
1213,2,40.981499,3.5611447,11.5079567,-14.45,2.041
1213,3,43.6805238,3.7594543,11.61884686,-14.127,4.452
2028,1,46.3263132,3.3719891,13.73857146,-14.081,3.608
2028,2,45.1141583,3.8449522,11.73334698,-14.608,4.226
2028,3,43.9687226,3.5681829,12.32244081,-14.713,2.987
2280,1,44.3994291,3.6677391,12.1053946,-14.084,4.271
2280,2,43.9427354,3.5708986,12.30579199,-13.856,4.383
2280,3,43.0729075,2.2621324,19.04084283,-13.477,2.197
1155,1,45.6435831,3.5773697,12.7589785,-14.084,5.255
1155,2,48.050144,3.3185221,14.47938044,-14.27,4.839
1155,3,45.0071519,2.858209,15.74662731,-14.229,4.857
1103,1,45.5061025,3.91791,11.61489225,-14.365,1.068
1103,2,45.9107866,3.947565,11.63015342,-14.606,1.547
1103,3,44.1049668,3.5876276,12.29363014,-13.996,2.236
2166,1,45.8984994,3.7984804,12.08338456,-14.567,1.818
2166,2,45.5711681,4.064494,11.2120151,-14.696,2.028
2166,3,37.426369,2.8472519,13.14473405,-14.237,2.372
1094,1,45.2199917,3.8639139,11.70315718,-13.827,5.28
1094,2,44.0007766,3.8001293,11.57875775,-13.846,4.341
1094,3,43.0136976,4.2831689,10.04249391,-13.846,3.91
2114,1,46.3760174,4.0946338,11.32604762,-14.008,6.381
2114,2,46.9460059,3.8162539,12.30159395,-13.914,6.295
2114,3,43.0488809,2.9444621,14.62028698,-13.356,4.913
1207,1,47.0700145,4.3425045,10.83937034,-15.224,4.661
1207,2,45.6162499,3.6033894,12.65926183,-13.959,1.272
1207,3,46.5119616,3.7020074,12.56398396,-14.381,4.337
2032,1,44.6771704,3.5576174,12.55817177,-13.499,4.658
2032,2,43.6172055,3.6494898,11.95158992,-13.443,2.827
2032,3,43.9256782,3.4468529,12.74370548,-14.148,1.533
2199,1,44.119324,3.6638942,12.04164793,-14.301,3.847
2199,2,45.7679742,3.4910387,13.11013086,-14.186,3.083
2199,3,47.9922729,3.6116851,13.28805573,-14.252,3.504
1314,1,,,#DIV/0!,,
1314,2,,,#DIV/0!,,
1314,3,,,#DIV/0!,,
2184,1,44.7962928,3.0808728,14.54013058,-14.183,2.664
2184,2,45.5929002,3.1752627,14.35878052,-13.808,2.714
2184,3,43.5021512,3.3164387,13.11712808,-13.897,4.533
1154,1,44.7664777,3.5121975,12.74600238,-13.938,6.352
1154,2,46.2240699,2.221559,20.80704132,-14.154,2.593
1154,3,43.3444852,2.2856278,18.96392982,-13.991,2.189
2253,1,43.286269,2.6296226,16.46101954,-14.06,3.187
2253,2,45.6696298,3.1900256,14.31638348,-13.979,3.389
2253,3,44.5600385,2.7165052,16.40344311,-14.289,2.596
1138,1,44.8342392,3.1411231,14.27331492,-14.292,2.828
1138,2,44.6824638,2.4880161,17.95907342,-14.26,1.498
1138,3,41.8319689,2.0197429,20.7115316,-14.03,0.108
