Plot,Repeat,N,d15N,C,d13C,CN
1155,1,4.29,5.01,48.05,-29.67,11.2004662
1155,2,4.84,7.21,48.46,-30.12,10.01239669
1155,3,3.88,3.02,45.81,-29.27,11.80670103
1160,1,5.34,3.52,50.08,-29.75,9.378277154
1160,2,4.85,1.99,48.61,-29.29,10.02268041
1160,3,4.19,1.54,47.98,-29.35,11.45107399
1260,1,4.52,4.26,47.07,-30.18,10.41371681
1260,2,3.92,3.98,47.3,-29.1,12.06632653
1260,3,5.8,5.37,49.88,-30.76,8.6
2057,1,4.06,2.7,48.92,-30.28,12.04926108
2057,2,4,4.54,49.26,-30.34,12.315
2057,3,4.07,3.14,49.3,-30.71,12.11302211
2069,1,3.87,6.73,50.4,-30.16,13.02325581
2069,2,3.16,8.54,44.09,-30.74,13.95253165
2069,3,3.66,7.01,47.64,-31.1,13.01639344
2086,2,2.89,2.53,47.89,-30.39,16.57093426
2113,1,3.83,2.37,46.32,-30.02,12.09399478
2113,2,3.95,1.82,47.31,-28.72,11.97721519
2113,3,3.82,2.79,49.11,-30.14,12.85602094
2200,1,5.5,3.1,50.51,-30.91,9.183636364
2200,2,3.83,2.36,48.25,-30.41,12.59791123
2200,3,4.64,3.51,49.05,-30.69,10.57112069
2202,1,3.41,2.79,46.83,-30.89,13.73313783
2218,1,4.55,2.63,45.05,-30.07,9.901098901
2218,2,3.51,2.85,45.97,-30.25,13.0968661
2218,3,4.13,3.64,45.94,-29.99,11.12348668
2257,1,4.52,0.86,47.39,-30.71,10.48451327
2257,2,5.49,1.36,48.41,-30.12,8.817850638
2257,3,4.58,1.77,49.09,-30.52,10.71834061
